"tract","Name","Fraction_Non-White_in_2010"
36081005000,"Queens County, NY",1
35043940600,"Jemez Pueblo, NM",0.9989
72113073006,"Ponce, PR",0.9989
72065310500,"Arecibo, PR",0.9977
72055961000," County, PR",0.9972
72127005000,"San Juan, PR",0.9971
72115330400,"Quebradillas, PR",0.9966
6037239801,"South Los Angeles, Los Angeles, CA",0.9959
72047530600,"Corozal, PR",0.9959
17031671600,"Englewood, Chicago, IL",0.9956
18089010400,"Gary, IN",0.9945
72013300800,"Arecibo, PR",0.9939
72087110304,"Río Grande, PR",0.9938
17031730400,"South Side, Chicago, IL",0.9926
72031050501,"Carolina, PR",0.9924
6037533001,"South Los Angeles, Los Angeles, CA",0.9918
1097003901,"Neely, Mobile, AL",0.9913
72137120700,"6ta Sección, Toa Baja, PR",0.9904
36047025500,"Kings County, NY",0.9896
5035030501,"West Memphis, AR",0.9881
6037534406,"Cudahy, CA",0.9874
36005022000,"Bronx County, NY",0.9872
17031490500,"Roseland, Chicago, IL",0.9871
48201331200,"Southeast Houston, Houston, TX",0.9853
6065045604,"Thermal, CA",0.9829
6037531504,"East Los Angeles, CA",0.9821
6037291120,"Harbor, Gardena, CA",0.9814
1073010302,"Bessemer, AL",0.9811
48141001800,"Chihuahuita, El Paso, TX",0.981
48201220800,"Northeast Houston, Houston, TX",0.979
48215021500,"Pharr, TX",0.9782
18097350800,"Indianapolis, IN",0.978
21111000800,"Shawnee, Louisville, KY",0.9774
6001409500,"Highland, Oakland, CA",0.9769
48141003601,"Collingsworth, El Paso, TX",0.9763
42101010600,"Haverford North, Philadelphia, PA",0.9749
6073003404,"Chollas View, San Diego, CA",0.9722
26163506700,"Detroit, MI",0.9699
34039039000,"Plainfield, NJ",0.9696
39061003800,"Evanston, Cincinnati, OH",0.9692
9001074000,"East Side, Bridgeport, CT",0.9677
13175950900,"Dublin, GA",0.9645
29095005400,"East Side, Kansas City, MO",0.9635
12086013200,"Hialeah, FL",0.9633
6037402502,"Westmont, Pomona, CA",0.9621
6037208610,"Central LA, Los Angeles, CA",0.9619
13215010605,"Columbus, GA",0.9616
6037553504,"Paramount, CA",0.9607
51087201003,"Richmond, VA",0.9606
6037602509,"Hawthorne, CA",0.959
34031175801,"Passaic, NJ",0.9589
42003260900,"Northview Heights, Pittsburgh, PA",0.958
12086000804,"Hialeah, FL",0.9562
12099006802,"Delray Beach, FL",0.9469
42101026800,"North Philadelphia, Philadelphia, PA",0.9468
42101019502,"Fairhill, Philadelphia, PA",0.9467
45041000700,"Florence, SC",0.9447
48303000900,"Parkway and Cherry Point, Lubbock, TX",0.9441
6107000600,"Cutler, CA",0.9437
42101038300,"Hunting Park, Philadelphia, PA",0.93
48201222200,"Orange Grove Britton, Houston, TX",0.9273
55079002800,"Hampton Heights, Milwaukee, WI",0.9196
22071003600,"Seventh Ward, New Orleans, LA",0.9169
37119003903,"Boulevard Homes, Charlotte, NC",0.9154
48141000600,"Logan Heights, El Paso, TX",0.9133
13021011701,"Macon, GA",0.9094
6037553802,"Paramount, CA",0.9078
48141010342,"El Paso, TX",0.9066
22051027811,"Harvey, LA",0.9004
